date,product,category,sales,units,price,region
2024-01-01,Laptop,Electronics,1200,2,600,North
2024-01-02,Phone,Electronics,800,1,800,South
2024-01-03,Tablet,Electronics,450,1,450,East
2024-01-04,Headphones,Accessories,150,3,50,West
2024-01-05,Laptop,Electronics,2400,4,600,South
2024-01-06,Phone,Electronics,2400,3,800,North
2024-01-07,Keyboard,Accessories,120,2,60,East
2024-01-08,Mouse,Accessories,60,1,60,West
2024-01-09,Laptop,Electronics,1800,3,600,East
2024-01-10,Monitor,Electronics,900,1,900,North
2024-01-11,Phone,Electronics,1600,2,800,West
2024-01-12,Tablet,Electronics,900,2,450,South
2024-01-13,Headphones,Accessories,200,4,50,North
2024-01-14,Keyboard,Accessories,180,3,60,South
2024-01-15,Mouse,Accessories,120,2,60,East
2024-01-16,Laptop,Electronics,3000,5,600,West
2024-01-17,Monitor,Electronics,1800,2,900,South
2024-01-18,Phone,Electronics,3200,4,800,East
2024-01-19,Tablet,Electronics,1350,3,450,North
2024-01-20,Headphones,Accessories,250,5,50,West
